target_round,moving_round,channel,raw_error,registered_error,num_kpts
1,2,1,0.025171617045998573,0.00012199118562535789,1335
1,3,1,0.2125975489616394,8.719465570030107e-05,1346
1,4,1,0.027674704790115356,0.00017395158940535491,1341
1,5,1,0.21424588561058044,7.563364110836389e-05,1437
1,6,1,0.1392117589712143,0.0001421790756445949,1180
1,7,1,0.19750544428825378,0.0001634070352490108,1300
1,8,1,0.20696665346622467,0.00010705388303111826,1261
1,9,1,0.20598909258842468,0.000101094023302659,1225
1,10,1,0.2240661084651947,0.00014738510736892217,1210
1,11,1,0.204433873295784,9.237484608523861e-05,1335
1,2,2,0.19234484434127808,0.05017469313890805,188
1,3,2,0.2126311957836151,0.00013178745532784362,147
1,4,2,0.19787144660949707,0.17830167973388616,190
1,5,2,0.2835496664047241,0.1274540242260128,242
1,6,2,0.20924296975135803,0.08105761097248496,49
1,7,2,0.39683449268341064,0.1031761780302335,130
1,8,2,0.20694169402122498,9.137071881159357e-05,180
1,9,2,0.1703006774187088,0.050935595313608396,45
1,10,2,0.22406424582004547,0.00016421686709733107,197
1,11,2,0.20888207852840424,0.006218833017812741,93
