target_round,moving_round,channel,raw_error,registered_error,num_kpts
1,2,1,0.032772354781627655,0.00012025152874614632,5189
1,3,1,0.028972629457712173,0.0001335581426922802,5166
1,4,1,0.032207243144512177,0.0001206631241525875,5030
1,5,1,0.06029016152024269,0.0001075019794117294,5281
1,6,1,0.14598023891448975,0.00010216292905935887,5314
1,7,1,0.011581902392208576,0.00011253820455866242,5340
1,8,1,0.04670187458395958,0.00013614987128385497,4438
1,9,1,0.025279004126787186,0.00011106300682019041,3376
1,10,1,0.040007829666137695,0.00013062636947006165,4253
1,2,1,0.025901105254888535,0.00012025152874614632,5189
1,3,1,0.02363419719040394,0.0001335581426922802,5166
1,4,1,0.0261544082313776,0.0001206631241525875,5030
1,5,1,0.056152455508708954,0.0001075019794117294,5281
1,6,1,0.14434188604354858,0.00010216292905935887,5314
1,7,1,0.004879292566329241,0.00011253820455866242,5340
1,2,1,0.025901105254888535,0.00012025152874614632,5189
1,3,1,0.02363419719040394,0.0001335581426922802,5166
1,4,1,0.0261544082313776,0.0001206631241525875,5030
1,5,1,0.056152455508708954,0.0001075019794117294,5281
1,6,1,0.14434188604354858,0.00010216292905935887,5314
1,7,1,0.004879292566329241,0.00011253820455866242,5340
1,8,1,0.03952382877469063,0.00013614987128385497,4438
1,9,1,0.016764933243393898,0.00011106300682019041,3376
1,10,1,0.03445631265640259,0.00013062636947006165,4253
1,11,1,0.014665123075246811,9.066327213968833e-05,5496
1,2,2,0.02561553195118904,8.653244118154333e-05,155
1,3,2,0.22767150402069092,0.037893155256480925,107
1,4,2,0.16652540862560272,0.03682514927336084,138
1,5,2,0.14708861708641052,0.0283491312212851,130
1,6,2,0.21723012626171112,0.027752026039748412,95
1,7,2,0.365527480840683,0.04005471831290384,42
1,8,2,0.1775418221950531,0.07523814817751978,119
1,9,2,0.15054351091384888,0.03118136830275812,105
1,10,2,0.034451134502887726,0.0001184893736530724,81
1,11,2,0.17542243003845215,0.052596494349054855,67
