target_round,moving_round,channel,raw_error,registered_error,num_kpts
1,2,1,0.026107383891940117,9.616310588265709e-05,2594
1,3,1,0.054065365344285965,0.00015386030540358731,2010
1,4,1,0.23514336347579956,0.00017712690954955947,2153
1,5,1,0.05672250688076019,0.00014189254948653233,2334
1,6,1,0.25688546895980835,0.0002763708951127613,1988
1,7,1,0.004332305863499641,0.00012149820530849622,2555
1,8,1,0.03941585496068001,0.00021983168441126283,1676
1,9,1,0.014695513993501663,0.00022674969040335777,1526
1,10,1,0.03474186360836029,0.00018290294266285698,1850
1,11,1,0.0163570549339056,0.00019279612205042133,2214
1,2,2,0.19368241727352142,0.027267281975275455,77
1,3,2,0.2432192862033844,0.056214399052387926,10
1,4,2,0.3244464099407196,0.08341300879082283,269
1,5,2,0.21405887603759766,0.06188454354342383,234
1,6,2,0.44544583559036255,0.03450721320743067,166
1,7,2,0.26507166028022766,0.09512046481325151,196
1,8,2,0.13735538721084595,0.06685597042226502,266
1,9,2,0.14715512096881866,0.09509751185603801,187
1,10,2,0.14610645174980164,0.0720775935719678,124
1,11,2,0.16318567097187042,0.08664503149666221,235
