target_round,moving_round,channel,raw_error,registered_error,num_kpts
1,2,1,0.025916537269949913,8.915681920491247e-05,1592
1,3,1,0.023630494251847267,0.00010152169401913107,1519
1,4,1,0.026166006922721863,9.38015317460483e-05,1471
1,5,1,0.056253787130117416,9.62374132934243e-05,1638
1,6,1,0.14430716633796692,8.10568240414032e-05,1592
1,7,1,0.004879432264715433,8.649499774675655e-05,1601
1,8,1,0.039615437388420105,0.00010101957649819608,1290
1,9,1,0.01676896959543228,7.484484155777714e-05,806
1,10,1,0.03445509448647499,9.314838290568533e-05,1151
1,11,1,0.01466237474232912,8.014417091971733e-05,1687
1,2,2,0.02557060495018959,7.11691814465452e-05,67
1,3,2,0.18059666454792023,0.020753462634347904,46
1,4,2,0.20668987929821014,0.04427130226655282,53
1,5,2,0.13435745239257812,0.08226970041571381,42
1,6,2,0.1922801285982132,0.059386472868359005,31
1,7,2,0.5128738284111023,0.05430880152104512,18
1,8,2,0.1760430485010147,0.04780764306981461,51
1,9,2,0.10765421390533447,0.05782622967397432,37
1,10,2,0.03442412242293358,0.00010009183119556358,31
1,11,2,0.260282963514328,0.030156467021838298,28
