target_round,moving_round,channel,raw_error,registered_error,num_kpts
1,2,1,0.025020847097039223,0.00014045241989376681,5392
1,3,1,0.21256870031356812,0.00011369984177109834,5482
1,4,1,0.02765108086168766,0.0001778616735884325,5316
1,5,1,0.21406565606594086,9.308967268222331e-05,5622
1,6,1,0.13928671181201935,0.00017278860597852173,5226
1,7,1,0.19747062027454376,0.0001701967116026941,5452
1,8,1,0.20684124529361725,0.00013053614576431113,5332
1,9,1,0.20593254268169403,0.00012953998186177883,5149
1,10,1,0.2240312695503235,0.0001780088404781252,5113
1,11,1,0.20445865392684937,0.00011316115213071542,5404
1,2,2,0.3102251887321472,0.067281967435322,1181
1,3,2,0.21259741485118866,0.00012624532919593815,727
1,4,2,0.248450368642807,0.07435196053627495,1042
1,5,2,0.3782380521297455,0.09461239969697503,1162
1,6,2,0.14928971230983734,0.033674352028446285,208
1,7,2,0.3327074646949768,0.08138072932769114,705
1,8,2,0.20677071809768677,0.0001498719688822291,849
1,9,2,0.40117204189300537,0.08262137998519203,261
1,10,2,0.2240298092365265,0.0001848079625142901,976
1,11,2,0.2043544203042984,0.00011316567410711878,491
