target_round,moving_round,channel,raw_error,registered_error,num_kpts
1,2,1,0.026093728840351105,0.00010333511237665284,2270
1,3,1,0.054019369184970856,0.0001802385690508296,1746
1,4,1,0.23526182770729065,0.00015938608464704623,1858
1,5,1,0.05672628805041313,0.00014754296946058886,1969
1,6,1,0.25707903504371643,0.0003044177263299072,1635
1,7,1,0.004264851100742817,0.00013008600453974452,2190
1,8,1,0.039416417479515076,0.00028967219130744703,1313
1,9,1,0.014656523242592812,0.0002953763146235297,1228
1,10,1,0.034733884036540985,0.0001951441922467659,1716
1,11,1,0.016321416944265366,0.00018232152025474355,1775
1,2,2,0.25482234358787537,0.0522000055323367,55
1,3,2,0.2312479019165039,0.09744169093996358,7
1,4,2,0.4055624008178711,0.19607594343581464,163
1,5,2,0.3123779594898224,0.11972659834676021,156
1,6,2,0.5078926086425781,0.07007417373968057,117
1,7,2,0.36125797033309937,0.06042748510497562,129
1,8,2,0.4285977780818939,0.1951855985026554,161
1,9,2,0.15535417199134827,0.05477338903930077,128
1,10,2,0.1690596342086792,0.08057872572627696,101
1,11,2,0.29111015796661377,0.1644400372066714,145
