target_round,moving_round,channel,raw_error,registered_error,num_kpts
1,2,1,0.02592490240931511,0.00012000011792568703,6006
1,3,1,0.02360217459499836,0.00013056759443496476,6058
1,4,1,0.02609311416745186,0.0001234340316812741,5657
1,5,1,0.05615995451807976,0.00010955633013435574,6293
1,6,1,0.14428305625915527,0.00010952117527407018,6203
1,7,1,0.004875100217759609,0.00011011059694759486,6329
1,8,1,0.039577312767505646,0.00013263141099631977,5252
1,9,1,0.01673424430191517,0.0001104883939631473,3091
1,10,1,0.034388888627290726,0.00013267077642316194,4059
1,11,1,0.014647481963038445,0.00010943328126909662,6177
1,2,2,0.025578586384654045,9.643264119588198e-05,203
1,3,2,0.20402589440345764,0.020240539528063105,176
1,4,2,0.20429658889770508,0.029433856604560417,201
1,5,2,0.14412349462509155,0.03629120854053267,197
1,6,2,0.27649378776550293,0.07650422452736877,149
1,7,2,0.3054845631122589,0.08883549104053984,46
1,8,2,0.14028918743133545,0.07607572142417561,193
1,9,2,0.17354197800159454,0.03655816430884315,148
1,10,2,0.0344361886382103,0.00015929514368305173,124
1,11,2,0.21422189474105835,0.04838255691955715,136
