Registration Method,Target Round,Moving Round,Registration Channel,Dataset,TRE,Mean Error (um)
Nonrigid Registration - channel 3,1,R9,3,BRCA (OHSU),0.00033550948137417436,2.731123685836792
Nonrigid Registration - channel 3,1,R2,3,BRCA (OHSU),0.09711983799934387,790.5776977539062
Nonrigid Registration - channel 3,1,R4,3,BRCA (OHSU),0.00020770331320818514,1.690752387046814
Nonrigid Registration - channel 3,1,R5,3,BRCA (OHSU),0.0006282292306423187,5.113929748535156
Nonrigid Registration - channel 3,1,R7,3,BRCA (OHSU),0.0003401494468562305,2.7688944339752197
Nonrigid Registration - channel 3,1,R11,3,BRCA (OHSU),0.00031346268951892853,2.5516576766967773
Nonrigid Registration - channel 3,1,R8,3,BRCA (OHSU),0.0002712736604735255,2.2082297801971436
Nonrigid Registration - channel 3,1,R6,3,BRCA (OHSU),0.0002896621008403599,2.3579154014587402
Nonrigid Registration - channel 3,1,R3,3,BRCA (OHSU),0.00014438285143114626,1.1753095388412476
Nonrigid Registration - channel 3,1,R10,3,BRCA (OHSU),0.00029451822047121823,2.3974456787109375
