target_round,moving_round,channel,raw_error,registered_error,num_kpts
1,2,1,0.02608529105782509,6.44284243279502e-05,680
1,3,1,0.054032109677791595,0.00011064320237401624,499
1,4,1,0.2352784425020218,0.00011060208358336712,525
1,5,1,0.05675222724676132,9.212773103481681e-05,593
1,6,1,0.2568313479423523,0.00016904311956192288,497
1,7,1,0.004265159368515015,8.011213585018156e-05,631
1,8,1,0.03939824178814888,0.00013196786249325775,421
1,9,1,0.014654004015028477,0.0001455362896675312,368
1,10,1,0.034739524126052856,0.0001332827168188103,483
1,11,1,0.016329338774085045,0.0001425254866807625,506
1,2,2,0.13048748672008514,0.0571338319528831,12
1,3,2,0.20922869443893433,0.06505682358883998,4
1,4,2,0.3542492985725403,0.07399195526251776,42
1,5,2,0.19875575602054596,0.04990917319828267,41
1,6,2,0.3897430896759033,0.13585099890578828,28
1,7,2,0.17838311195373535,0.09679634526587892,28
1,8,2,0.24940729141235352,0.13238801582543927,35
1,9,2,0.2576131224632263,0.0936072705835578,25
1,10,2,0.3215397894382477,0.06772990149160103,15
1,11,2,0.22072884440422058,0.08001903836526868,29
