target_round,moving_round,channel,raw_error,registered_error,num_kpts
1,2,1,0.025032982230186462,0.0001495651951595063,6855
1,3,1,0.21262310445308685,0.00012183805451411533,6807
1,4,1,0.02768443524837494,0.00019062715731316598,6791
1,5,1,0.21402627229690552,9.316491193267069e-05,7228
1,6,1,0.13933290541172028,0.0001918528521888283,5929
1,7,1,0.19750666618347168,0.00017706742366173573,6600
1,8,1,0.20679324865341187,0.00013981855438807304,6471
1,9,1,0.20597445964813232,0.00013926049643471071,6276
1,10,1,0.22406761348247528,0.00019097344302361534,6075
1,11,1,0.20447148382663727,0.00012080179371938464,6810
1,2,2,0.26904621720314026,0.07359565461679467,697
1,3,2,0.21264132857322693,0.00014286748052654287,641
1,4,2,0.35138997435569763,0.13730847450992242,714
1,5,2,0.2748284339904785,0.12485505967286864,775
1,6,2,0.19929362833499908,0.07763099610076,179
1,7,2,0.2429693341255188,0.08551382277034053,507
1,8,2,0.2068142294883728,0.00013856294480968958,629
1,9,2,0.26703518629074097,0.10129566947399068,203
1,10,2,0.22406384348869324,0.00018720473959557495,816
1,11,2,0.20440351963043213,0.00010992205003753726,412
